case,location,date,fatalities,injured,total_victims,location.1,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,latitude,longitude,type,year,date_parsed
Austin bar shooting,"Austin, Texas",3/1/2026,3,13,16,Other,53,yes,-,semiautomatic handgun; semiautomatic rifle,Black,M,-,-,mass,2026,2026-03-01
Brown University and MIT shooting,"Providence, Rhode Island",12/13/2025,3,9,12,school,48,yes,-,semiautomatic handgun,white,M,-,-,Spree,2025,2025-12-13
Michigan Mormon church shooting,"Grand Blanc, Michigan",9/28/2025,4,8,12,Religious,40,yes,-,"semiautomatic rifle, exposive materials",white,M,-,-,Mass,2025,2025-09-28
North Carolina waterfront bar shooting,"Southport Yacht Basin, North Carolina",9/27/2025,3,8,11,Other,39,yes,-,semiautomatic rifle,white,M,-,-,Mass,2025,2025-09-27
Austin parking lot shooting,"Austin, Texas",8/11/2025,3,0,3,other,32,Yes,-,-,-,M,-,-,Mass,2025,2025-08-11
Montana bar shooting,"Anaconda, Montana",8/1/2025,4,0,4,workplace,45,Yes,Yes,semiautomatic rifle,white,M,-,-,Mass,2025,2025-08-01
NYC Park Avenue shooting,"Manhattan, New York",7/28/2025,4,1,5,workplace,27,Yes,Yes,semiautomatic rifle,-,M,-,-,Mass,2025,2025-07-28
Reno casino shooting,"Reno, Nevada",7/28/2025,3,3,6,workplace,26,No,-,semiautomatic handgun,white,M,-,-,Mass,2025,2025-07-28
Apalachee High School shooting,"Winder, Georgia",9/4/24,4,9,13,School,14,yes,-,semiautomatic rifle,White,M,-,-,mass,2024,2024-09-04
Arkansas grocery store shooting,"Fordyce, Arkansas",6/21/24,4,10,14,workplace,44,-,-,shotgun; semiautomatic pistol,White,M,-,-,mass,2024,2024-06-21
UNLV shooting,"Las Vegas, Nevada",12/6/23,3,1,4,School,67,-,-,semiautomatic handgun,White,M,-,-,mass,2023,2023-12-06
Maine bowling alley and bar shootings,"Lewiston, Maine",10/25/23,18,13,31,Other,40,yes,-,semiautomatic rifle,White,M,-,-,Spree,2023,2023-10-25
Jacksonville Dollar General store shooting,"Jacksonville, Florida",8/26/23,3,0,3,workplace,21,yes,yes,"semiautomatic rifle, semiautomatic handgun",White,M,-,-,mass,2023,2023-08-26
Orange County biker bar shooting,"Trabuco Canyon, California",8/23/23,3,6,9,Other,59,-,-,semiautomatic handguns; shotgun,White,M,-,-,mass,2023,2023-08-23
Philidelphia neighborhood shooting,"Philadelphia, Pennsylvania",7/3/23,5,2,7,Other,40,yes,yes,"semiautomatic rifle, semiautomatic handgun",Black,M,-,-,mass,2023,2023-07-03
New Mexico neighborhood shooting,"Farmington, New Mexico",5/15/23,3,6,9,Other,18,yes,yes,semiautiomatic rifle; semiautomatic pistol,White,M,-,-,mass,2023,2023-05-15
Texas outlet mall shooting,"Allen, Texas",5/6/23,8,7,15,Other,33,yes,yes,semiautomatic rifle,Latino,M,-,-,Mass,2023,2023-05-06
Louisville bank shooting,"Louisville, Kentucky",4/10/23,5,8,13,workplace,25,yes,yes,semiautomatic rifle,White,M,-,-,Mass,2023,2023-04-10
Nashville Christian school shooting,"Nashville, Tennessee",3/27/23,6,6,12,School,28,-,yes,"semiautomatic rifle, semiautomatic handgun",White,"F (""identifies as transgender"" and ""Audrey Hale is a biological woman who, on a social media profile, used male pronouns,” according to Nashville Metro PD officials)",-,-,Mass,2023,2023-03-27
Michigan State University shooting,"East Lansing, Michigan",2/13/23,3,5,8,School,43,-,yes,semiautomatic handguns,Black,M,-,-,Mass,2023,2023-02-13
Half Moon Bay spree shooting,"Half Moon Bay, California",1/23/23,7,1,8,workplace,67,-,-,semiautomatic handgun,Asian,M,-,-,Spree,2023,2023-01-23
LA dance studio mass shooting,"Monterey Park, California",1/21/23,11,10,21,Other,72,yes,-,semiautomatic assault weapon (Details pending),Asian,M,-,-,Mass,2023,2023-01-21
Virginia Walmart shooting,"Chesapeake, Virginia",11/22/22,6,6,12,Workplace,31,-,-,semiautomatic handgun,Black,M,-,-,Mass,2022,2022-11-22
LGBTQ club shooting,"Colorado Springs, Colorado",11/19/22,5,25,30,Other,22,yes,-,semiautomatic rifle; semiautomatic handgun,White,M,-,-,Mass,2022,2022-11-19
University of Virginia shooting,"Charlottesville, Virginia",11/13/22,3,2,5,School,22,-,yes,semiautomatic pistol,Black,M,-,-,Mass,2022,2022-11-13
Raleigh spree shooting,"Hedingham, North Carolina",10/13/22,5,2,7,Other,15,-,-,"shotgun, semiautomatic handgun",White,M,-,-,Spree,2022,2022-10-13
